id,game,url,rating,category,release_date,platforms,genres,themes,companies,description
107262,Streets of Rage 4,https://www.igdb.com/g/2ari,8.017320335729371,Main Game,"[""Jun 25, 2020 (Europe [EU])"", ""Apr 30, 2020 (Worldwide [WW])"", ""Sep 23, 2022 (Worldwide [WW])"", ""Jul 15, 2021 (Worldwide [WW])"", ""May 24, 2022 (Worldwide [WW])"", ""Apr 30, 2020 (Worldwide [WW])"", ""Nov 12, 2020 (Worldwide [WW])"", ""Apr 30, 2020 (Worldwide [WW])"", ""Nov 12, 2020 (Worldwide [WW])"", ""Apr 30, 2020 (Worldwide [WW])"", ""Jun 25, 2020 (Europe [EU])"", ""Apr 30, 2020 (Worldwide [WW])"", ""Jul 24, 2020 (Europe [EU])"", ""Jun 25, 2020 (Europe [EU])"", ""Apr 30, 2020 (Worldwide [WW])""]","[""Mac"", ""PC (Microsoft Windows)"", ""Android"", ""Nintendo Switch"", ""PlayStation 4"", ""Google Stadia"", ""Xbox One"", ""iOS"", ""Linux""]","[""Adventure"", ""Arcade"", ""Fighting"", ""Hack and slash/Beat 'em up"", ""Indie""]","[""Action""]","[""DotEmu"", ""Lizardcube"", ""Guard Crush Games"", ""Yooreka Studio"", ""Playdigious"", ""Merge Games""]",
2136,Bayonetta,https://www.igdb.com/g/1nc,8.198613602518858,Main Game,"[""Apr 11, 2017 (Worldwide [WW])"", ""Jan 08, 2010 (Europe [EU])"", ""Jan 07, 2010 (Australia [AU])"", ""Oct 29, 2009 (Japan [JP])"", ""Jan 05, 2010 (North America [NA])"", ""Jan 07, 2010 (Australia [AU])"", ""Jan 05, 2010 (North America [NA])"", ""Jan 08, 2010 (Europe [EU])"", ""Oct 29, 2009 (Japan [JP])""]","[""PlayStation 3"", ""PC (Microsoft Windows)"", ""Xbox 360""]","[""Adventure"", ""Hack and slash/Beat 'em up"", ""Shooter""]","[""Action"", ""Fantasy""]","[""Nex Entertainment"", ""PlatinumGames"", ""Sega""]",
26758,Super Mario Odyssey,https://www.igdb.com/g/kna,8.902189766184142,Main Game,"[""Oct 27, 2017 (Worldwide [WW])"", ""Jun 05, 2025 (Worldwide [WW])"", ""Oct 25, 2022 (Brazil [BR])""]","[""Nintendo Switch 2"", ""Nintendo Switch""]","[""Adventure"", ""Platform""]","[""Action"", ""Fantasy"", ""Open world"", ""Sandbox""]","[""Nintendo"", ""1-UP Studio"", ""Nintendo EPD Production Group No. 8""]",
18853,Aragami,https://www.igdb.com/g/ejp,7.151463983713399,Main Game,"[""Oct 04, 2016 (Worldwide [WW])"", ""Oct 04, 2016 (Worldwide [WW])"", ""Jun 05, 2018 (Worldwide [WW])"", ""Oct 04, 2016 (Worldwide [WW])"", ""Oct 04, 2016 (Worldwide [WW])"", ""Feb 21, 2019 (Worldwide [WW])""]","[""Mac"", ""PC (Microsoft Windows)"", ""Nintendo Switch"", ""PlayStation 4"", ""Xbox One"", ""Linux""]","[""Adventure"", ""Indie""]","[""Action"", ""Stealth""]","[""Lince Works"", ""Merge Games""]",
6282,A.R.E.S.: Extinction Agenda,https://www.igdb.com/g/4ui,4.618824620195727,Main Game,"[""Oct 02, 2013 (North America [NA])"", ""Dec 14, 2010 (Worldwide [WW])"", ""Jan 20, 2011 ()""]","[""PC (Microsoft Windows)"", ""Xbox 360"", ""Linux""]","[""Indie"", ""Platform""]","[""Action"", ""Science fiction""]","[""Extend Studio"", ""ORiGO GAMES""]",
128,Assassin's Creed,https://www.igdb.com/g/3k,7.3267493175856195,Main Game,"[""Nov 16, 2007 (Europe [EU])"", ""Nov 29, 2007 (Japan [JP])"", ""Nov 21, 2007 (Australia [AU])"", ""Nov 21, 2007 (Australia [AU])"", ""Nov 13, 2007 (North America [NA])"", ""Nov 13, 2007 (North America [NA])"", ""Nov 16, 2007 (Europe [EU])""]","[""PlayStation 3"", ""Xbox 360""]","[""Adventure"", ""Platform""]","[""Action"", ""Fantasy"", ""Historical"", ""Open world"", ""Sandbox"", ""Science fiction"", ""Stealth""]","[""Ubisoft Montreal"", ""Ubisoft Entertainment""]",
127,Assassin's Creed II,https://www.igdb.com/g/3j,8.667278001229763,Main Game,"[""Dec 03, 2009 (Japan [JP])"", ""Nov 17, 2009 (Worldwide [WW])"", ""Nov 17, 2009 (North America [NA])"", ""Nov 19, 2009 (Europe [EU])"", ""Mar 17, 2011 (Europe [EU])"", ""Sep 2010 (Worldwide [WW])"", ""Mar 09, 2010 (Worldwide [WW])""]","[""Mac"", ""PlayStation 3"", ""PC (Microsoft Windows)"", ""Xbox 360""]","[""Adventure"", ""Platform""]","[""Action"", ""Fantasy"", ""Historical"", ""Open world"", ""Sandbox"", ""Science fiction"", ""Stealth""]","[""Ubisoft Montreal"", ""Ubisoft Entertainment"", ""Ubisoft Singapore""]",
1266,Assassin's Creed III,https://www.igdb.com/g/z6,7.347595334043383,Main Game,"[""Nov 20, 2012 (Worldwide [WW])"", ""Oct 30, 2012 (North America [NA])"", ""Nov 18, 2012 (North America [NA])"", ""Nov 30, 2012 (Europe [EU])"", ""Nov 15, 2012 (Japan [JP])"", ""Oct 31, 2012 (Europe [EU])"", ""Nov 15, 2012 (Japan [JP])"", ""Nov 23, 2012 (Europe [EU])"", ""Dec 21, 2012 (Japan [JP])"", ""Oct 31, 2012 (Europe [EU])"", ""Oct 30, 2012 (North America [NA])"", ""Dec 08, 2012 (Japan [JP])""]","[""PlayStation 3"", ""Wii U"", ""PC (Microsoft Windows)"", ""Xbox 360""]","[""Adventure""]","[""Action"", ""Fantasy"", ""Historical"", ""Open world"", ""Sandbox"", ""Science fiction"", ""Stealth""]","[""Ubisoft Annecy"", ""Ubisoft Singapore"", ""Ubisoft Bucharest"", ""Ubisoft Kyiv"", ""Ubisoft Montreal"", ""Ubisoft Québec"", ""Ubisoft Entertainment""]",
1983,Bastion,https://www.igdb.com/g/1j3,8.248285272958617,Main Game,"[""Apr 26, 2012 (Worldwide [WW])"", ""Jul 20, 2011 (Worldwide [WW])"", ""Aug 16, 2011 (Worldwide [WW])"", ""May 31, 2012 (Worldwide [WW])"", ""Apr 07, 2015 (North America [NA])"", ""Sep 13, 2018 (Worldwide [WW])"", ""Dec 12, 2016 (Worldwide [WW])"", ""Aug 29, 2012 (Worldwide [WW])"", ""Dec 05, 2015 (North America [NA])"", ""Nov 04, 2019 (Worldwide [WW])""]","[""Mac"", ""PC (Microsoft Windows)"", ""Nintendo Switch"", ""PlayStation 4"", ""Xbox One"", ""iOS"", ""Xbox 360"", ""PlayStation Vita"", ""Linux""]","[""Adventure"", ""Indie"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy""]","[""WB Games"", ""Supergiant Games"", ""BlitWorks""]",
537,Assassin's Creed Revelations,https://www.igdb.com/g/ex,7.692798013372363,Main Game,"[""Nov 15, 2011 (Worldwide [WW])"", ""Nov 15, 2011 (Worldwide [WW])"", ""Nov 16, 2011 (Europe [EU])"", ""Nov 29, 2011 (Japan [JP])"", ""Nov 14, 2011 (North America [NA])""]","[""PlayStation 3"", ""PC (Microsoft Windows)"", ""Xbox 360""]","[""Adventure""]","[""Action"", ""Fantasy"", ""Historical"", ""Open world"", ""Sandbox"", ""Stealth""]","[""Ubisoft Montreal"", ""Ubisoft Annecy"", ""Ubisoft Kyiv"", ""Ubisoft Singapore"", ""Ubisoft Bucharest"", ""Massive Entertainment"", ""Ubisoft Québec"", ""Ubisoft Entertainment""]",
